Title,Authors,Publication Year,Total Citations,Average per Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Molecular profiling of human cancer,"Liotta, L; Petricoin, E",2000,339,16.95,1,23,41,42,40,41,22,28,13,13,11,14,7,9,7,9,9,2
Regulation of cytoplasmic mRNA decay,"Schoenberg, Daniel R.; Maquat, Lynne E.",2012,337,42.13,0,0,0,0,0,0,0,0,0,0,0,0,17,64,48,53,38,43
Insights from genomic profiling of transcription factors,"Farnham, Peggy J.",2009,337,30.64,0,0,0,0,0,0,0,0,0,4,41,73,55,59,30,16,25,14
Gene expression regulation mediated through reversible m(6)A RNA methylation,"Fu, Ye; Dominissini, Dan; Rechavi, Gideon; He, Chuan",2014,336,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,50,71,55
Prions as adaptive conduits of memory and inheritance,"Shorter, J; Lindquist, S",2005,336,22.4,0,0,0,0,0,4,22,25,27,33,31,35,28,22,16,24,21,23
Microarray technology: beyond transcript profiling and genotype analysis,"Hoheisel, JD",2006,333,23.79,0,0,0,0,0,0,14,38,39,37,31,30,34,21,28,17,21,11
Chromosome 21 and Down syndrome: From genomics to pathophysiology,"Antonarakis, SE; Lyle, R; Dermitzakis, ET; Reymond, A; Deutsch, S",2004,333,20.81,0,0,0,0,0,9,17,10,16,29,38,22,28,21,29,36,22,24
Mechanisms of ageing: Public or private?,"Partridge, L; Gems, D",2002,332,18.44,0,0,9,33,29,35,22,24,21,28,18,12,16,16,14,13,15,6
Human laminopathies: nuclei gone genetically awry,"Capell, Brian C.; Collins, Francis S.",2006,329,23.5,0,0,0,0,0,0,0,22,43,32,38,35,32,19,22,16,19,19
"The evolution of spliceosomal introns: patterns, puzzles and progress","Roy, SW; Gilbert, W",2006,329,23.5,0,0,0,0,0,0,13,41,33,30,31,23,29,24,24,16,19,18
Transforming clinical microbiology with bacterial genome sequencing,"Didelot, Xavier; Bowden, Rory; Wilson, Daniel J.; Peto, Tim E. A.; Crook, Derrick W.",2012,327,40.88,0,0,0,0,0,0,0,0,0,0,0,0,2,47,54,59,54,49
Genetics of susceptibility to human infectious disease,"Cooke, GS; Hill, AVS",2001,327,17.21,0,0,8,26,19,19,27,27,25,30,24,18,18,16,17,15,10,10
RNA-mediated epigenetic regulation of gene expression,"Holoch, Daniel; Moazed, Danesh",2015,326,65.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,76,100
Mammalian RNA polymerase II core promoters: insights from genome-wide studies,"Sandelin, Albin; Carninci, Piero; Lenhard, Boris; Ponjavic, Jasmina; Hayashizaki, Yoshihide; Hume, David A.",2007,326,25.08,0,0,0,0,0,0,0,5,41,44,34,40,28,24,30,27,21,21
Gliomagenesis: Genetic alterations and mouse models,"Holland, EC",2001,323,17,0,7,14,20,20,22,20,20,21,21,24,29,20,15,16,17,14,12
Frizzled/PCP signalling: a conserved mechanism regulating cell polarity and directed motility,"Seifert, Jessica R. K.; Mlodzik, Marek",2007,321,24.69,0,0,0,0,0,0,0,12,46,44,35,29,28,27,21,17,20,24
Molecular mechanisms of flower development: An armchair guide,"Krizek, BA; Fletcher, JC",2005,321,21.4,0,0,0,0,0,1,11,16,14,27,28,27,30,24,39,16,24,29
Not your father's planarian: A classic model enters the era of functional genomics,"Newmark, PA; Alvarado, AS",2002,321,17.83,0,0,4,9,13,14,11,14,19,25,18,19,25,30,16,25,29,22
Cis-regulatory elements: molecular mechanisms and evolutionary processes underlying divergence,"Wittkopp, Patricia J.; Kalay, Gizem",2012,320,40,0,0,0,0,0,0,0,0,0,0,0,0,9,32,39,45,62,46
The cutting-edge of mammalian development; How the embryo makes teeth,"Tucker, A; Sharpe, P",2004,320,20,0,0,0,0,0,11,20,29,27,24,21,27,22,21,26,21,14,26
The quest for genetic determinants of human longevity: challenges and insights,"Christensen, Kaare; Johnson, Thomas E.; Vaupel, James W.",2006,319,22.79,0,0,0,0,0,0,7,16,25,26,26,34,29,35,31,13,21,25
Domestic-animal genomics: deciphering the genetics of complex traits,"Andersson, L; Georges, M",2004,319,19.94,0,0,0,0,8,19,26,23,16,22,27,15,20,21,31,25,18,20
An integrated view of protein evolution,"Pal, C; Papp, B; Lercher, MJ",2006,318,22.71,0,0,0,0,0,0,2,24,18,34,38,32,38,30,31,19,10,17
Z-DNA: the long road to biological function,"Rich, A; Zhang, SG",2003,318,18.71,0,0,0,1,5,20,29,19,17,18,17,30,22,28,17,12,21,24
Human aneuploidy: mechanisms and new insights into an age-old problem,"Nagaoka, So I.; Hassold, Terry J.; Hunt, Patricia A.",2012,317,39.63,0,0,0,0,0,0,0,0,0,0,0,0,6,38,40,48,65,47
Chemical genetics: Ligand-based discovery of gene function,"Stockwell, BR",2000,315,15.75,0,5,13,24,31,28,23,14,16,23,16,31,17,13,18,15,14,7
Computational and analytical challenges in single-cell transcriptomics,"Stegle, Oliver; Teichmann, Sarah A.; Marioni, John C.",2015,314,62.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,78,94
Detecting genetic responses to environmental change,"Hoffmann, Ary A.; Willi, Yvonne",2008,314,26.17,0,0,0,0,0,0,0,0,3,20,31,36,34,37,39,27,23,37
Constraint-based models predict metabolic and associated cellular functions,"Bordbar, Aarash; Monk, Jonathan M.; King, Zachary A.; Palsson, Bernhard O.",2014,313,52.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,64,68,61
Rare-disease genetics in the era of next-generation sequencing: discovery to translation,"Boycott, Kym M.; Vanstone, Megan R.; Bulman, Dennis E.; MacKenzie, Alex E.",2013,313,44.71,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43,56,58,64
Genome-wide association studies in diverse populations,"Rosenberg, Noah A.; Huang, Lucy; Jewett, Ethan M.; Szpiech, Zachary A.; Jankovic, Ivana; Boehnke, Michael",2010,312,31.2,0,0,0,0,0,0,0,0,0,0,10,29,50,43,33,29,32,40
The art and design of genetic screens: Drosophila melanogaster,"St Johnston, D",2002,312,17.33,0,0,6,11,17,8,17,13,17,15,14,24,24,16,21,30,25,22
Functional consequences of developmentally regulated alternative splicing,"Kalsotra, Auinash; Cooper, Thomas A.",2011,311,34.56,0,0,0,0,0,0,0,0,0,0,0,1,29,49,51,45,44,41
Gene function in mouse embryogenesis: get set for gastrulation,"Tam, Patrick P. L.; Loebel, David A. F.",2007,311,23.92,0,0,0,0,0,0,0,4,17,30,21,21,23,23,38,26,39,33
The causes and consequences of HIV evolution,"Rambaut, A; Posada, D; Crandall, KA; Holmes, EC",2004,311,19.44,0,0,0,0,7,16,19,22,26,29,32,17,25,27,20,16,18,17
Recent and ongoing selection in the human genome,"Nielsen, Rasmus; Hellmann, Ines; Hubisz, Melissa; Bustamante, Carlos; Clark, Andrew G.",2007,310,23.85,0,0,0,0,0,0,0,0,20,42,42,33,31,27,15,27,29,18
Needles in stacks of needles: finding disease-causal variants in a wealth of genomic data,"Cooper, Gregory M.; Shendure, Jay",2011,309,34.33,0,0,0,0,0,0,0,0,0,0,0,5,53,57,56,43,37,25
"Drosophila, the golden bug, emerges as a tool for human genetics","Bier, E",2005,309,20.6,0,0,0,0,0,5,10,17,19,18,24,30,25,22,21,31,23,25
Genes and speciation,"Wu, CI; Ting, CT",2004,309,19.31,0,0,0,0,8,22,17,17,18,23,35,22,24,26,26,15,15,21
What good is genomic imprinting: The function of parent-specific gene expression,"Wilkins, JF; Haig, D",2003,308,18.12,0,0,0,6,24,20,20,29,32,23,23,23,18,16,30,10,13,7
Engineering adeno-associated viruses for clinical gene therapy,"Kotterman, Melissa A.; Schaffer, David V.",2014,306,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46,81,70
Experimental and analytical tools for studying the human microbiome,"Kuczynski, Justin; Lauber, Christian L.; Walters, William A.; Parfrey, Laura Wegener; Clemente, Jose C.; Gevers, Dirk; Knight, Rob",2012,306,38.25,0,0,0,0,0,0,0,0,0,0,0,0,25,39,43,45,48,47
The nuclear envelope and transcriptional control,"Akhtar, Asifa; Gasser, Susan M.",2007,306,23.54,0,0,0,0,0,0,0,10,48,46,46,38,22,25,19,18,14,8
Harnessing the power of RADseq for ecological and evolutionary genomics,"Andrews, Kimberly R.; Good, Jeffrey M.; Miller, Michael R.; Luikart, Gordon; Hohenlohe, Paul A.",2016,305,76.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,86
Mechanisms and functions of Hedgehog signalling across the metazoa,"Ingham, Philip W.; Nakano, Yoshiro; Seger, Claudia",2011,305,33.89,0,0,0,0,0,0,0,0,0,0,0,5,48,57,52,36,28,37
Context-dependent control of alternative splicing by RNA-binding proteins,"Fu, Xiang-Dong; Ares, Manuel, Jr.",2014,303,50.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,55,87
Human mitochondrial DNA: roles of inherited and somatic mutations,"Schon, Eric A.; DiMauro, Salvatore; Hirano, Michio",2012,303,37.88,0,0,0,0,0,0,0,0,0,0,0,0,0,29,55,49,64,33
Forest tree genomics: growing resources and applications,"Neale, David B.; Kremer, Antoine",2011,303,33.67,0,0,0,0,0,0,0,0,0,0,0,8,31,38,54,51,49,26
Uncovering cryptic genetic variation,"Gibson, G; Dworkin, I",2004,302,18.88,0,0,0,0,0,18,17,16,15,17,11,18,28,25,26,22,42,12
ChIP-seq and beyond: new and improved methodologies to detect and characterize protein-DNA interactions,"Furey, Terrence S.",2012,301,37.63,0,0,0,0,0,0,0,0,0,0,0,0,0,31,55,65,46,52
Photoreceptor degeneration: genetic and mechanistic dissection of a complex trait,"Wright, Alan F.; Chakarova, Christina F.; El-Aziz, Mai M. Abd; Bhattacharya, Shomi S.",2010,301,30.1,0,0,0,0,0,0,0,0,0,0,5,20,29,36,29,45,45,46
Deconstructing repression: evolving models of co-repressor action,"Perissi, Valentina; Jepsen, Kristen; Glass, Christopher K.; Rosenfeld, Michael G.",2010,300,30,0,0,0,0,0,0,0,0,0,0,16,44,33,49,44,27,31,23
Methods of integrating data to uncover genotype-phenotype interactions,"Ritchie, Marylyn D.; Holzinger, Emily R.; Li, Ruowang; Pendergrass, Sarah A.; Kim, Dokyoon",2015,299,59.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,61,82
Evolution and development of shape: integrating quantitative approaches,"Klingenberg, Christian Peter",2010,299,29.9,0,0,0,0,0,0,0,0,0,0,3,14,33,39,36,44,33,38
The evolution of Fox genes and their role in development and disease,"Hannenhalli, Sridhar; Kaestner, Klaus H.",2009,299,27.18,0,0,0,0,0,0,0,0,0,2,21,28,26,41,28,31,39,29
X-linked mental retardation,"Ropers, HH; Hamel, BCJ",2005,298,19.87,0,0,0,0,0,12,33,37,18,26,19,30,21,23,20,17,14,11
DNA markers reveal the complexity of livestock domestication,"Bruford, MW; Bradley, DG; Luikart, G",2003,298,17.53,0,0,0,0,1,17,25,22,18,22,17,20,27,24,18,17,24,21
Genetic defects in the human glycome,"Freeze, Hudson H.",2006,297,21.21,0,0,0,0,0,0,5,19,30,27,26,35,26,29,23,13,24,12
Stochastic modelling for quantitative description of heterogeneous biological systems,"Wilkinson, Darren J.",2009,296,26.91,0,0,0,0,0,0,0,0,0,9,29,35,30,28,35,44,22,29
Evolution of the cancer genome,"Yates, Lucy R.; Campbell, Peter J.",2012,294,36.75,0,0,0,0,0,0,0,0,0,0,0,0,2,28,45,61,40,48
Computational solutions to large-scale data management and analysis,"Schadt, Eric E.; Linderman, Michael D.; Sorenson, Jon; Lee, Lawrence; Nolan, Garry P.",2010,294,29.4,0,0,0,0,0,0,0,0,0,0,3,23,31,32,55,45,46,26
Genetic links between diet and lifespan: shared mechanisms from yeast to humans,"Bishop, Nicholas A.; Guarente, Leonard",2007,294,22.62,0,0,0,0,0,0,0,1,24,53,39,31,31,26,28,12,14,19
The role of regulatory variation in complex traits and disease,"Albert, Frank W.; Kruglyak, Leonid",2015,293,58.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,52,85
Evolutionary analysis of the dynamics of viral infectious disease,"Pybus, Oliver G.; Rambaut, Andrew",2009,293,26.64,0,0,0,0,0,0,0,0,0,1,12,42,36,41,39,21,39,28
Controlling gene expression in response to stress,"de Nadal, Eulalia; Ammerer, Gustav; Posas, Francesc",2011,291,32.33,0,0,0,0,0,0,0,0,0,0,0,1,20,26,27,45,40,47
Learning how to live together: genomic insights into prokaryote-animal symbioses,"Moya, Andres; Pereto, Juli; Gil, Rosario; Latorre, Amparo",2008,291,24.25,0,0,0,0,0,0,0,0,15,15,22,24,33,24,23,24,36,28
The evolution of epidemic influenza,"Nelson, Martha I.; Holmes, Edward C.",2007,290,22.31,0,0,0,0,0,0,0,5,18,25,26,29,25,34,32,17,26,22
Signatures of natural selection in the human genome,"Bamshad, M; Wooding, SP",2003,290,17.06,0,0,0,8,27,29,41,30,24,22,16,11,13,14,13,18,8,8
The art and design of genetic screens: Zebrafish,"Patton, EE; Zon, LI",2001,290,15.26,0,0,13,19,13,10,9,14,15,15,19,23,17,20,21,18,25,25
The evolutionary origin of orphan genes,"Tautz, Diethard; Domazet-Loso, Tomislav",2011,289,32.11,0,0,0,0,0,0,0,0,0,0,0,2,21,47,34,44,36,38
Statistical analysis strategies for association studies involving rare variants,"Bansal, Vikas; Libiger, Ondrej; Torkamani, Ali; Schork, Nicholas J.",2010,289,28.9,0,0,0,0,0,0,0,0,0,0,1,34,66,43,47,30,22,19
Nucleosome destabilization in the epigenetic regulation of gene expression,"Henikoff, Steven",2008,289,24.08,0,0,0,0,0,0,0,0,23,46,55,30,26,25,24,17,12,15
Genomic strategies to identify mammalian regulatory sequences,"Pennacchio, LA; Rubin, EM",2001,287,15.11,0,6,24,34,50,32,33,23,11,19,11,10,7,7,5,5,3,4
The establishment of Spemann's organizer and patterning of the vertebrate embryo,"De Robertis, EM; Larrain, J; Oelgeschlager, M; Wessely, O",2000,287,14.35,0,26,22,23,28,22,30,13,12,10,11,20,14,6,14,7,9,9
"Alternative cleavage and polyadenylation: extent, regulation and function","Elkon, Ran; Ugalde, Alejandro P.; Agami, Reuven",2013,285,40.71,0,0,0,0,0,0,0,0,0,0,0,0,0,6,40,41,56,67
Evolution on the X chromosome: unusual patterns and processes,"Vicoso, Beatriz; Charlesworth, Brian",2006,285,20.36,0,0,0,0,0,0,1,18,13,28,36,21,32,16,18,30,28,16
The genesis and evolution of homeobox gene clusters,"Garcia-Fernandez, J",2005,285,19,0,0,0,0,0,0,11,27,27,27,23,25,8,24,18,29,20,17
The Bayesian revolution in genetics,"Beaumont, MA; Rannala, B",2004,285,17.81,0,0,0,0,7,16,30,21,19,29,30,17,17,25,17,19,11,9
The evolution of animal chemosensory receptor gene repertoires: roles of chance and necessity,"Nei, Masatoshi; Niimura, Yoshihito; Nozawa, Masafumi",2008,284,23.67,0,0,0,0,0,0,0,0,1,19,26,23,27,31,32,32,31,24
Knocking down disease: a progress report on siRNA therapeutics,"Wittrup, Anders; Lieberman, Judy",2015,283,56.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,54,84
Analysing and interpreting DNA methylation data,"Bock, Christoph",2012,283,35.38,0,0,0,0,0,0,0,0,0,0,0,0,1,30,52,59,62,31
Psychiatric genetics: progress amid controversy,"Burmeister, Margit; McInnis, Melvin G.; Zollner, Sebastian",2008,283,23.58,0,0,0,0,0,0,0,0,5,35,44,35,30,20,13,25,25,24
"RETRACTED: Plant genetic engineering for biofuel production: towards affordable cellulosic ethanol (Retracted article. See vol 11, pg 308, 2010)","Sticklen, Mariam B.",2008,281,23.42,0,0,0,0,0,0,0,0,2,34,40,34,27,19,24,27,23,17
Toll-like receptors - taking an evolutionary approach,"Leulier, Francois; Lemaitre, Bruno",2008,281,23.42,0,0,0,0,0,0,0,0,8,24,24,32,30,30,20,24,22,23
Genetic insights into common pathways and complex relationships among immune-mediated diseases,"Parkes, Miles; Cortes, Adrian; van Heel, David A.; Brown, Matthew A.",2013,280,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,65,54,59
The evolution of isochores,"Eyre-Walker, A; Hurst, LD",2001,280,14.74,0,3,19,24,21,20,22,24,17,20,17,15,11,17,9,13,9,8
"Applying mass spectrometry-based proteomics to genetics, genomics and network biology","Gstaiger, Matthias; Aebersold, Ruedi",2009,279,25.36,0,0,0,0,0,0,0,0,0,0,45,51,47,33,28,25,19,17
Quantitative trait loci in Drosophila,"Mackay, TFC",2001,279,14.68,0,14,36,31,31,27,13,18,13,8,12,14,10,13,14,5,9,7
Epistasis and quantitative traits: using model organisms to study gene-gene interactions,"Mackay, Trudy F. C.",2014,278,46.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,56,55,55
New insights into the aetiology of colorectal cancer from genome-wide association studies,"Tenesa, Albert; Dunlop, Malcolm G.",2009,278,25.27,0,0,0,0,0,0,0,0,0,3,26,26,30,34,37,30,33,28
Endogenous viruses: insights into viral evolution and impact on host biology,"Feschotte, Cedric; Gilbert, Clement",2012,277,34.63,0,0,0,0,0,0,0,0,0,0,0,0,7,47,43,39,38,41
Dynamic interactions between transposable elements and their hosts,"Levin, Henry L.; Moran, John V.",2011,277,30.78,0,0,0,0,0,0,0,0,0,0,0,0,21,38,37,45,47,39
Beyond DNA: integrating inclusive inheritance into an extended theory of evolution,"Danchin, Etienne; Charmantier, Anne; Champagne, Frances A.; Mesoudi, Alex; Pujol, Benoit; Blanchet, Simon",2011,277,30.78,0,0,0,0,0,0,0,0,0,0,0,5,27,34,39,42,31,44
The organization and inheritance of the mitochondrial genome,"Chen, XJ; Butow, RA",2005,277,18.47,0,0,0,0,0,0,11,22,22,23,24,22,28,21,22,26,16,22
Sociogenomics: Social life in molecular terms,"Robinson, GE; Grozinger, CM; Whitfield, CW",2005,277,18.47,0,0,0,0,0,2,30,26,23,17,21,16,16,15,25,20,20,18
Use of population isolates for mapping complex traits,"Peltonen, L; Palotie, A; Lange, K",2000,277,13.85,0,9,24,22,16,12,16,24,25,20,19,12,12,12,19,6,8,11
Mechanisms underlying mutational signatures in human cancers,"Helleday, Thomas; Eshtad, Saeed; Nik-Zainal, Serena",2014,276,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,53,84
Use and misuse of the gene ontology annotations,"Rhee, Seung Yon; Wood, Valerie; Dolinski, Kara; Draghici, Sorin",2008,276,23,0,0,0,0,0,0,0,0,3,28,32,21,30,22,21,21,33,24
Metagenomics: DNA sequencing of environmental samples,"Tringe, SG; Rubin, EM",2005,276,18.4,0,0,0,0,0,0,12,24,26,17,31,30,15,21,21,20,20,12
Molecular spandrels: tests of adaptation at the genetic level,"Barrett, Rowan D. H.; Hoekstra, Hopi E.",2011,274,30.44,0,0,0,0,0,0,0,0,0,0,0,0,27,45,48,46,43,32
The complex eukaryotic transcriptome: unexpected pervasive transcription and novel small RNAs,"Jacquier, Alain",2009,274,24.91,0,0,0,0,0,0,0,0,0,0,31,50,32,38,42,27,20,12
Rewiring the keyboard evolvability of the genetic code,"Knight, RD; Freeland, SJ; Landweber, LF",2001,274,14.42,0,5,8,11,10,13,19,17,12,29,21,18,13,14,14,9,23,13
Copy number variants and genetic traits: closer to the resolution of phenotypic to genotypic variability,"Beckmann, Jacques S.; Estivill, Xavier; Antonarakis, Stylianos E.",2007,273,21,0,0,0,0,0,0,0,5,40,38,34,23,27,24,21,16,17,14
INNOVATION Exploiting and antagonizing microRNA regulation for therapeutic and experimental applications,"Brown, Brian D.; Naldini, Luigi",2009,272,24.73,0,0,0,0,0,0,0,0,0,5,42,40,37,39,25,30,18,22
Highly parallel genomic assays,"Fan, Jian-Bing; Chee, Mark S.; Gunderson, Kevin L.",2006,272,19.43,0,0,0,0,0,0,2,35,33,37,40,28,21,20,22,11,9,4
Genetic approaches to studying energy balance: Perception and integration,"Barsh, GS; Schwartz, MW",2002,272,15.11,0,0,1,21,14,26,23,8,16,13,17,10,20,23,19,12,13,17
Identification and consequences of miRNA-target interactions - beyond repression of gene expression,"Hausser, Jean; Zavolan, Mihaela",2014,271,45.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,62,75
The molecular evolutionary basis of species formation,"Presgraves, Daven C.",2010,271,27.1,0,0,0,0,0,0,0,0,0,0,19,29,30,31,35,39,30,29
Family-based designs in the age of large-scale gene-association studies,"Laird, NM; Lange, C",2006,271,19.36,0,0,0,0,0,0,7,19,32,37,20,26,26,17,17,19,15,18
"GENOME-WIDE ASSOCIATION STUDIES Validating, augmenting and refining genome-wide association signals","Ioannidis, John P. A.; Thomas, Gilles; Daly, Mark J.",2009,270,24.55,0,0,0,0,0,0,0,0,0,13,63,41,49,21,18,19,13,20
The Decapentaplegic morphogen gradient: from pattern formation to growth regulation,"Affolter, Markus; Basler, Konrad",2007,270,20.77,0,0,0,0,0,0,0,0,20,29,32,36,29,34,21,19,14,20
Epigenetic signatures of stem-cell identity,"Spivakov, Mikhail; Fisher, Amanda G.",2007,270,20.77,0,0,0,0,0,0,0,7,38,35,25,34,22,25,20,18,13,13
Methods for making induced pluripotent stem cells: reprogramming a la carte,"Gonzalez, Federico; Boue, Stephanie; Izpisua Belmonte, Juan Carlos",2011,269,29.89,0,0,0,0,0,0,0,0,0,0,0,20,35,51,29,33,31,31
Drosophila: Genetics meets behaviour,"Sokolowski, MB",2001,269,14.16,0,0,8,24,20,19,11,20,10,11,13,11,9,17,18,17,15,21
Evolution of crop species: genetics of domestication and diversification,"Meyer, Rachel S.; Purugganan, Michael D.",2013,268,38.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,31,41,62
How important are transposons for plant evolution?,"Lisch, Damon",2013,268,38.29,0,0,0,0,0,0,0,0,0,0,0,0,0,17,41,35,40,56
"Ribosome profiling: new views of translation, from single codons to genome scale APPLICATIONS OF NEXT-GENERATION SEQUENCING - INNOVATION","Ingolia, Nicholas T.",2014,267,44.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,55,68,54
How flies get their size: genetics meets physiology,"Edgar, Bruce A.",2006,267,19.07,0,0,0,0,0,0,0,14,21,20,31,34,15,24,18,31,15,17
Endogenous microRNA sponges: evidence and controversy,"Thomson, Daniel W.; Dinger, Marcel E.",2016,266,66.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,76
Bridging the regeneration gap: genetic insights from diverse animal models,"Alvarado, Alejandro Sanchez; Tsonis, Panagiotis A.",2006,266,19,0,0,0,0,0,0,0,15,22,25,19,18,20,20,22,22,16,26
Genome evolution in bacterial endosymbionts of insects,"Wernegreen, JJ",2002,265,14.72,0,0,0,6,16,19,21,17,16,23,14,11,14,16,16,10,16,22
Patterning the vertebrate heart,"Harvey, RP",2002,265,14.72,0,0,3,12,17,21,27,25,13,10,18,11,19,21,15,18,13,7
Encoded evidence: DNA in forensic analysis,"Jobling, MA; Gill, P",2004,264,16.5,0,0,0,0,0,14,12,10,21,10,18,12,26,19,13,21,26,25
Segmental duplications and the evolution of the primate genome,"Samonte, RV; Eichler, EE",2002,264,14.67,0,0,14,43,29,33,28,19,19,17,9,3,3,10,8,7,3,8
Coupling mRNA processing with transcription in time and space,"Bentley, David L.",2014,263,43.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,42,64,60
Bayesian statistical methods for genetic association studies,"Stephens, Matthew; Balding, David J.",2009,263,23.91,0,0,0,0,0,0,0,0,0,0,23,40,31,27,26,34,22,31
Life is a journey: A genetic look at neocortical development,"Gupta, A; Tsai, LH; Wynshaw-Boris, A",2002,263,14.61,0,0,0,24,27,18,24,17,13,20,19,17,16,13,14,10,11,13
Which evolutionary processes influence natural genetic variation for phenotypic traits?,"Mitchell-Olds, Thomas; Willis, John H.; Goldstein, David B.",2007,262,20.15,0,0,0,0,0,0,0,1,9,27,25,27,13,24,29,23,22,22
Chromatin modifiers and remodellers: regulators of cellular differentiation,"Chen, Taiping; Dent, Sharon Y. R.",2014,261,43.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,53,64,63
From evolutionary genetics to human immunology: how selection shapes host defence genes,"Barreiro, Luis B.; Quintana-Murci, Lluis",2010,259,25.9,0,0,0,0,0,0,0,0,0,0,9,32,39,31,24,28,27,25
NON-CODING RNA Gene regulation by antisense transcription,"Pelechano, Vicent; Steinmetz, Lars M.",2013,258,36.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,42,71,47
The pleiotropic structure of the genotype-phenotype map: the evolvability of complex organisms,"Wagner, Guenter P.; Zhang, Jianzhi",2011,257,28.56,0,0,0,0,0,0,0,0,0,0,0,9,29,31,36,38,24,29
Chromatin remodelling in mammalian differentiation: lessons from ATP-dependent remodellers,"de la Serna, Ivana L.; Ohkawa, Yasuyuki; Imbalzano, Anthony N.",2006,257,18.36,0,0,0,0,0,0,4,37,25,26,34,25,16,15,20,17,9,12
Transgene introgression from genetically modified crops to their wild relatives,"Stewart, CN; Halfhill, MD; Warwick, SI",2003,257,15.12,0,0,0,0,9,31,22,19,13,18,15,20,20,15,18,19,14,12
Opinion - Is evolvability evolvable?,"Pigliucci, Massimo",2008,256,21.33,0,0,0,0,0,0,0,0,9,11,16,30,28,26,35,23,28,16
Evolving responsively: Adaptive mutation,"Rosenberg, SM",2001,256,13.47,0,3,15,21,26,15,23,13,12,7,17,13,14,11,14,16,12,12
Iron homeostasis: Insights from genetics and animal models,"Andrews, NC",2000,255,12.75,0,8,24,19,22,21,9,18,17,12,6,10,11,18,11,7,11,8
Haplotype phasing: existing methods and new developments,"Browning, Sharon R.; Browning, Brian L.",2011,254,28.22,0,0,0,0,0,0,0,0,0,0,0,0,19,41,36,31,41,33
Vertebrate limb bud development: moving towards integrative analysis of organogenesis,"Zeller, Rolf; Lopez-Rios, Javier; Zuniga, Aimee",2009,254,23.09,0,0,0,0,0,0,0,0,0,0,15,32,33,24,34,36,24,27
Genome-wide approaches to studying chromatin modifications,"Schones, Dustin E.; Zhao, Keji",2008,254,21.17,0,0,0,0,0,0,0,0,12,36,48,34,31,27,17,16,12,11
Pitfalls of predicting complex traits from SNPs,"Wray, Naomi R.; Yang, Jian; Hayes, Ben J.; Price, Alkes L.; Goddard, Michael E.; Visscher, Peter M.",2013,253,36.14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,35,49,54,44
Machine learning applications in genetics and genomics,"Libbrecht, Maxwell W.; Noble, William Stafford",2015,252,50.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,52
Systems genetics approaches to understand complex traits,"Civelek, Mete; Lusis, Aldons J.",2014,252,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,53,56,57
Emerging patterns of somatic mutations in cancer,"Watson, Ian R.; Takahashi, Koichi; Futreal, P. Andrew; Chin, Lynda",2013,252,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,42,56,47
"Prokaryotic transcriptomics: a new view on regulation, physiology and pathogenicity","Sorek, Rotem; Cossart, Pascale",2010,252,25.2,0,0,0,0,0,0,0,0,0,0,20,38,27,28,30,32,23,30
The stem-cell niche theory: Lessons from flies,"Lin, HF",2002,252,14,0,0,0,8,24,26,23,18,21,22,17,13,11,13,5,10,12,15
Cystic fibrosis genetics: from molecular understanding to clinical application,"Cutting, Garry R.",2015,251,50.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,54,61
"Gene-trap mutagenesis: Past, present and beyond","Stanford, WL; Cohn, JB; Cordes, SP",2001,251,13.21,0,0,14,20,26,20,18,14,15,12,15,11,17,11,10,14,10,12
The genetic causes of convergent evolution,"Stern, David L.",2013,250,35.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,50,43,59
