Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Beginning Page,Ending Page,Article Number,DOI,Total Citations,Average per Year,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Sox9 is required for cartilage formation,"Bi, WM; Deng, JM; Zhang, ZP; Behringer, RR; de Crombrugghe, B",,,,NATURE GENETICS,May-99,1999,22,1,85,89,,,1079,51.38,0,0,3,31,48,38,49,52,59,55,57,49,63,58,65,64,53,62,64,60,61
High frequency of BRAF mutations in nevi,"Pollock, PM; Harper, UL; Hansen, KS; Yudt, LM; Stark, M; Robbins, CM; Moses, TY; Hostetter, G; Wagner, U; Kakareka, J; Salem, G; Pohida, T; Heenan, P; Duray, P; Kallioniemi, O; Hayward, NK; Trent, JM; Meltzer, PS",,,,NATURE GENETICS,Jan-03,2003,33,1,19,20,,10.1038/ng1054,1075,63.24,0,0,0,0,0,0,41,63,80,71,66,61,72,73,71,67,88,73,62,58,66
Pten is essential for embryonic development and tumour suppression,"Di Cristofano, A; Pesce, B; Cordon-Cardo, C; Pandolfi, PP",,,,NATURE GENETICS,Aug-98,1998,19,4,348,355,,,1074,48.82,0,6,45,61,66,63,55,50,50,57,58,70,57,47,49,56,50,53,57,52,28
The genome of the domesticated apple (Malus x domestica Borkh.),"Velasco, Riccardo; Zharkikh, Andrey; Affourtit, Jason; Dhingra, Amit; Cestaro, Alessandro; Kalyanaraman, Ananth; Fontana, Paolo; Bhatnagar, Satish K.; Troggio, Michela; Pruss, Dmitry; Salvi, Silvio; Pindo, Massimo; Baldi, Paolo; Castelletti, Sara; Cavaiuolo, Marina; Coppola, Giuseppina; Costa, Fabrizio; Cova, Valentina; Dal Ri, Antonio; Goremykin, Vadim; Komjanc, Matteo; Longhi, Sara; Magnago, Pierluigi; Malacarne, Giulia; Malnoy, Mickael; Micheletti, Diego; Moretto, Marco; Perazzolli, Michele; Si-Ammour, Azeddine; Vezzulli, Silvia; Zini, Elena; Eldredge, Glenn; Fitzgerald, Lisa M.; Gutin, Natalia; Lanchbury, Jerry; Macalma, Teresita; Mitchell, Jeff T.; Reid, Julia; Wardell, Bryan; Kodira, Chinnappa; Chen, Zhoutao; Desany, Brian; Niazi, Faheem; Palmer, Melinda; Koepke, Tyson; Jiwan, Derick; Schaeffer, Scott; Krishnan, Vandhana; Wu, Changjun; Chu, Vu T.; King, Stephen T.; Vick, Jessica; Tao, Quanzhou; Mraz, Amy; Stormo, Aimee; Stormo, Keith; Bogden, Robert; Ederle, Davide; Stella, Alessandra; Vecchietti, Alberto; Kater, Martin M.; Masiero, Simona; Lasserre, Pauline; Lespinasse, Yves; Allan, Andrew C.; Bus, Vincent; Chagne, David; Crowhurst, Ross N.; Gleave, Andrew P.; Lavezzo, Enrico; Fawcett, Jeffrey A.; Proost, Sebastian; Rouze, Pierre; Sterck, Lieven; Toppo, Stefano; Lazzari, Barbara; Hellens, Roger P.; Durel, Charles-Eric; Gutin, Alexander; Bumgarner, Roger E.; Gardiner, Susan E.; Skolnick, Mark; Egholm, Michael; Van de Peer, Yves; Salamini, Francesco; Viola, Roberto",,,,NATURE GENETICS,Oct-10,2010,42,10,833,+,,10.1038/ng.654,1072,107.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,139,123,152,152,136,119
Mutations of the X-linked genes encoding neuroligins NLGN3 and NLGN4 are associated with autism,"Jamain, S; Quach, H; Betancur, C; Rastam, M; Colineaux, C; Gillberg, IC; Soderstrom, H; Giros, B; Leboyer, M; Gillberg, C; Bourgeron, T; Gillberg, C; Rastam, M; Gillberg, C; Nyden, A; Soderstrom, H; Leboyer, M; Betancur, C; Philippe, A; Giros, B; Colineaux, C; Cohen, D; Chabane, N; Mouren-Simeoni, MC; Brice, A; Sponheim, E; Spurkland, I; Skjeldal, OH; Coleman, M; Pearl, PL; Cohen, IL; Tsiouris, J; Zappella, M; Menchetti, G; Pompella, A; Aschauer, H; Van Maldergem, L",Paris Autism Res Int Sibpair Study,,,NATURE GENETICS,May-03,2003,34,1,27,29,,10.1038/ng1136,1067,62.76,0,0,0,0,0,0,11,32,44,44,52,83,65,89,105,97,90,65,75,61,72
Genetic variation in the gene encoding calpain-10 is associated with type 2 diabetes mellitus,"Horikawa, Y; Oda, N; Cox, NJ; Li, XQ; Orho-Melander, M; Hara, M; Hinokio, Y; Lindner, TH; Mashima, H; Schwarz, PEH; del Bosque-Plata, L; Horikawa, Y; Oda, Y; Yoshiuchi, I; Colilla, S; Polonsky, KS; Wei, S; Concannon, P; Iwasaki, N; Schulze, T; Baier, LJ; Bogardus, C; Groop, L; Boerwinkle, E; Hanis, CL; Bell, GI",,,,NATURE GENETICS,Oct-00,2000,26,2,163,175,,10.1038/79876,1067,53.35,0,0,0,11,108,157,121,105,92,72,73,61,43,34,30,25,24,27,27,17,16
A gene expression database for the molecular pharmacology of cancer,"Scherf, U; Ross, DT; Waltham, M; Smith, LH; Lee, JK; Tanabe, L; Kohn, KW; Reinhold, WC; Myers, TG; Andrews, DT; Scudiero, DA; Eisen, MB; Sausville, EA; Pommier, Y; Botstein, D; Brown, PO; Weinstein, JN",,,,NATURE GENETICS,Mar-00,2000,24,3,236,244,,10.1038/73439,1067,53.35,0,0,0,29,99,118,94,98,76,74,67,63,46,57,37,48,24,28,33,24,22
Module networks: identifying regulatory modules and their condition-specific regulators from gene expression data,"Segal, E; Shapira, M; Regev, A; Pe'er, D; Botstein, D; Koller, D; Friedman, N",,,,NATURE GENETICS,Jun-03,2003,34,2,166,176,,10.1038/ng1165,1061,62.41,0,0,0,0,0,0,9,70,81,81,89,89,107,99,59,58,68,54,62,46,43
Homozygous C1q deficiency causes glomerulonephritis associated with multiple apoptotic bodies,"Botto, M; Dell'Agnola, C; Bygrave, AE; Thompson, EM; Cook, HT; Petry, F; Loos, M; Pandolfi, PP; Walport, MJ",,,,NATURE GENETICS,May-98,1998,19,1,56,59,,10.1038/ng0598-56,1060,48.18,0,12,31,64,77,87,66,102,58,72,64,53,44,39,59,52,34,34,26,19,29
"Severe early-onset obesity, adrenal insufficiency and red hair pigmentation caused by POMC mutations in humans","Krude, H; Biebermann, H; Luck, W; Horn, R; Brabant, G; Gruters, A",,,,NATURE GENETICS,Jun-98,1998,19,2,155,157,,10.1038/509,1059,48.14,0,12,57,69,71,62,82,48,62,56,54,61,46,60,44,37,35,43,36,38,34
Large-scale association analysis identifies 13 new susceptibility loci for coronary artery disease,"Schunkert, Heribert; Koenig, Inke R.; Kathiresan, Sekar; Reilly, Muredach P.; Assimes, Themistocles L.; Holm, Hilma; Preuss, Michael; Stewart, Alexandre F. R.; Barbalic, Maja; Gieger, Christian; Absher, Devin; Aherrahrou, Zouhair; Allayee, Hooman; Altshuler, David; Anand, Sonia S.; Andersen, Karl; Anderson, Jeffrey L.; Ardissino, Diego; Ball, Stephen G.; Balmforth, Anthony J.; Barnes, Timothy A.; Becker, Diane M.; Becker, Lewis C.; Berger, Klaus; Bis, Joshua C.; Boekholdt, S. Matthijs; Boerwinkle, Eric; Braund, Peter S.; Brown, Morris J.; Burnett, Mary Susan; Buysschaert, Ian; Carlquist, John F.; Chen, Li; Cichon, Sven; Codd, Veryan; Davies, Robert W.; Dedoussis, George; Dehghan, Abbas; Demissie, Serkalem; Devaney, Joseph M.; Diemert, Patrick; Do, Ron; Doering, Angela; Eifert, Sandra; El Mokhtari, Nour Eddine; Ellis, Stephen G.; Elosua, Roberto; Engert, James C.; Epstein, Stephen E.; de Faire, Ulf; Fischer, Marcus; Folsom, Aaron R.; Freyer, Jennifer; Gigante, Bruna; Girelli, Domenico; Gretarsdottir, Solveig; Gudnason, Vilmundur; Gulcher, Jeffrey R.; Halperin, Eran; Hammond, Naomi; Hazen, Stanley L.; Hofman, Albert; Horne, Benjamin D.; Illig, Thomas; Iribarren, Carlos; Jones, Gregory T.; Jukema, J. Wouter; Kaiser, Michael A.; Kaplan, Lee M.; Kastelein, John J. P.; Khaw, Kay-Tee; Knowles, Joshua W.; Kolovou, Genovefa; Kong, Augustine; Laaksonen, Reijo; Lambrechts, Diether; Leander, Karin; Lettre, Guillaume; Li, Mingyao; Lieb, Wolfgang; Loley, Christina; Lotery, Andrew J.; Mannucci, Pier M.; Maouche, Seraya; Martinelli, Nicola; McKeown, Pascal P.; Meisinger, Christa; Meitinger, Thomas; Melander, Olle; Merlini, Pier Angelica; Mooser, Vincent; Morgan, Thomas; Muehleisen, Thomas W.; Muhlestein, Joseph B.; Muenzel, Thomas; Musunuru, Kiran; nahrstaedt, Janja; Nelson, Christopher P.; Noethen, Markus M.; Olivieri, Oliviero; Patel, Riyaz S.; Patterson, Chris C.; Peters, Annette; Peyvandi, Flora; Qu, Liming; Quyyumi, Arshed A.; Rader, Daniel J.; Rallidis, Loukianos S.; Rice, Catherine; Rosendaal, Frits R.; Rubin, Diana; Salomaa, Veikko; Sampietro, M. Lourdes; Sandhu, Manj S.; Schadt, Eric; Schaefer, Arne; Schillert, Arne; Schreiber, Stefan; Schrezenmeir, Juergen; Schwartz, Stephen M.; Siscovick, David S.; Sivananthan, Mohan; Sivapalaratnam, Suthesh; Smith, Albert; Smith, Tamara B.; Snoep, Jaapjan D.; Soranzo, Nicole; Spertus, John A.; Stark, Klaus; Stirrups, Kathy; Stoll, Monika; Tang, W. H. Wilson; Tennstedt, Stephanie; Thorgeirsson, Gudmundur; Thorleifsson, Gudmar; Tomaszewski, Maciej; Uitterlinden, Andre G.; van Rij, Andre M.; Voight, Benjamin F.; Wareham, Nick J.; Wells, George A.; Wichmann, H-Erich; Wild, Philipp S.; Willenborg, Christina; Witteman, Jaqueline C. M.; Wright, Benjamin J.; Ye, Shu; Zeller, Tanja; Ziegler, Andreas; Cambien, Francois; Goodall, Alison H.; Cupples, L. Adrienne; Quertermous, Thomas; Maerz, Winfried; Hengstenberg, Christian; Blankenberg, Stefan; Ouwehand, Willem H.; Hall, Alistair S.; Deloukas, Panos; Thompson, John R.; Stefansson, Kari; Roberts, Robert; Thorsteinsdottir, Unnur; O'Donnell, Christopher J.; McPherson, Ruth; Erdmann, Jeanette; Samani, Nilesh J.",CARDIoGRAM Consortium,,,NATURE GENETICS,Apr-11,2011,43,4,333,U153,,10.1038/ng.784,1052,116.89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,140,137,117,156,147,142
Cloning and characterization of a family of novel mammalian DNA (cytosine-5) methyltransferases,"Okano, M; Xie, SP; Li, E",,,,NATURE GENETICS,Jul-98,1998,19,3,219,220,,,1044,47.45,0,1,46,50,55,62,37,37,42,43,36,35,47,50,65,38,57,56,56,69,72
"Tumour amplified kinase STK15/BTAK induces centrosome amplification, aneuploidy and transformation","Zhou, HY; Kuang, J; Zhong, L; Kuo, WL; Gray, JW; Sahin, A; Brinkley, BR; Sen, S",,,,NATURE GENETICS,Oct-98,1998,20,2,189,193,,10.1038/2496,1031,46.86,0,4,30,46,39,64,59,73,70,69,68,75,55,67,60,43,35,40,39,33,28
"A Pro12Ala substitution in PPAR gamma 2 associated with decreased receptor activity, lower body mass index and improved insulin sensitivity","Deeb, SS; Fajas, L; Nemoto, M; Pihlajamaki, J; Mykkanen, L; Kuusisto, J; Laakso, M; Fujimoto, W; Auwerx, J",,,,NATURE GENETICS,Nov-98,1998,20,3,284,287,,10.1038/3099,1026,46.64,0,0,22,46,54,60,67,51,80,50,81,68,65,63,54,56,42,51,37,25,20
Impaired microRNA processing enhances cellular transformation and tumorigenesis,"Kumar, Madhu S.; Lu, Jun; Mercer, Kim L.; Golub, Todd R.; Jacks, Tyler",,,,NATURE GENETICS,May-07,2007,39,5,673,677,,10.1038/ng2003,1018,78.31,0,0,0,0,0,0,0,0,0,0,22,68,79,107,100,103,102,114,99,74,61
Genome-wide analysis of DNA copy-number changes using cDNA microarrays,"Pollack, JR; Perou, CM; Alizadeh, AA; Eisen, MB; Pergamenschikov, A; Williams, CF; Jeffrey, SS; Botstein, D; Brown, PO",,,,NATURE GENETICS,Sep-99,1999,23,1,41,46,,,1018,48.48,0,0,3,43,69,80,60,91,102,106,102,74,47,61,46,28,17,24,13,18,15
Large-scale association analysis provides insights into the genetic architecture and pathophysiology of type 2 diabetes,"Morris, Andrew P.; Voight, Benjamin F.; Teslovich, Tanya M.; Ferreira, Teresa; Segre, Ayellet V.; Steinthorsdottir, Valgerdur; Strawbridge, Rona J.; Khan, Hassan; Grallert, Harald; Mahajan, Anubha; Prokopenko, Inga; Kang, Hyun Min; Dina, Christian; Esko, Tonu; Fraser, Ross M.; Kanoni, Stavroula; Kumar, Ashish; Lagou, Vasiliki; Langenberg, Claudia; Luan, Jian'an; Lindgren, Cecilia M.; Mueller-Nurasyid, Martina; Pechlivanis, Sonali; Rayner, N. William; Scott, Laura J.; Wiltshire, Steven; Yengo, Loic; Kinnunen, Leena; Rossin, Elizabeth J.; Raychaudhuri, Soumya; Johnson, Andrew D.; Dimas, Antigone S.; Loos, Ruth J. F.; Vedantam, Sailaja; Chen, Han; Florez, Jose C.; Fox, Caroline; Liu, Ching-Ti; Rybin, Denis; Couper, David J.; Kao, Wen Hong L.; Li, Man; Cornelis, Marilyn C.; Kraft, Peter; Sun, Qi; van Dam, Rob M.; Stringham, Heather M.; Chines, Peter S.; Fischer, Krista; Fontanillas, Pierre; Holmen, Oddgeir L.; Hunt, Sarah E.; Jackson, Anne U.; Kong, Augustine; Lawrence, Robert; Meyer, Julia; Perry, John R. B.; Platou, Carl G. P.; Potter, Simon; Rehnberg, Emil; Robertson, Neil; Sivapalaratnam, Suthesh; Stancakova, Alena; Stirrups, Kathleen; Thorleifsson, Gudmar; Tikkanen, Emmi; Wood, Andrew R.; Almgren, Peter; Atalay, Mustafa; Benediktsson, Rafn; Bonnycastle, Lori L.; Burtt, Noel; Carey, Jason; Charpentier, Guillaume; Crenshaw, Andrew T.; Doney, Alex S. F.; Dorkhan, Mozhgan; Edkins, Sarah; Emilsson, Valur; Eury, Elodie; Forsen, Tom; Gertow, Karl; Gigante, Bruna; Grant, George B.; Groves, Christopher J.; Guiducci, Candace; Herder, Christian; Hreidarsson, Astradur B.; Hui, Jennie; James, Alan; Jonsson, Anna; Rathmann, Wolfgang; Klopp, Norman; Kravic, Jasmina; Krjutskov, Kaarel; Langford, Cordelia; Leander, Karin; Lindholm, Eero; Lobbens, Stephane; Mannisto, Satu; Mirza, Ghazala; Muehleisen, Thomas W.; Musk, Bill; Parkin, Melissa; Rallidis, Loukianos; Saramies, Jouko; Sennblad, Bengt; Shah, Sonia; Sigurdsson, Gunnar; Silveira, Angela; Steinbach, Gerald; Thorand, Barbara; Trakalo, Joseph; Veglia, Fabrizio; Wennauer, Roman; Winckler, Wendy; Zabaneh, Delilah; Campbell, Harry; van Duijn, Cornelia; Uitterlinden, Andre G.; Hofman, Albert; Sijbrands, Eric; Abecasis, Goncalo R.; Owen, Katharine R.; Zeggini, Eleftheria; Trip, Mieke D.; Forouhi, Nita G.; Syvanen, Ann-Christine; Eriksson, Johan G.; Peltonen, Leena; Noethen, Markus M.; Balkau, Beverley; Palmer, Colin N. A.; Lyssenko, Valeriya; Tuomi, Tiinamaija; Isomaa, Bo; Hunter, David J.; Qi, Lu; Shuldiner, Alan R.; Roden, Michael; Barroso, Ines; Wilsgaard, Tom; Beilby, John; Hovingh, Kees; Price, Jackie F.; Wilson, James F.; Rauramaa, Rainer; Lakka, Timo A.; Lind, Lars; Dedoussis, George; Njolstad, Inger; Pedersen, Nancy L.; Khaw, Kay-Tee; Wareham, Nicholas J.; Keinanen-Kiukaanniemi, Sirkka M.; Saaristo, Timo E.; Korpi-Hyovalti, Eeva; Saltevo, Juha; Laakso, Markku; Kuusisto, Johanna; Metspalu, Andres; Collins, Francis S.; Mohlke, Karen L.; Bergman, Richard N.; Tuomilehto, Jaakko; Boehm, Bernhard O.; Gieger, Christian; Hveem, Kristian; Cauchi, Stephane; Froguel, Philippe; Baldassarre, Damiano; Tremoli, Elena; Humphries, Steve E.; Saleheen, Danish; Danesh, John; Ingelsson, Erik; Ripatti, Samuli; Salomaa, Veikko; Erbel, Raimund; Joeckel, Karl-Heinz; Moebus, Susanne; Peters, Annette; Illig, Thomas; de Faire, Ulf; Hamsten, Anders; Morris, Andrew D.; Donnelly, Peter J.; Frayling, Timothy M.; Hattersley, Andrew T.; Boerwinkle, Eric; Melander, Olle; Kathiresan, Sekar; Nilsson, Peter M.; Deloukas, Panos; Thorsteinsdottir, Unnur; Groop, Leif C.; Stefansson, Kari; Hu, Frank; Pankow, James S.; Dupuis, Josee; Meigs, James B.; Altshuler, David; Boehnke, Michael; McCarthy, Mark I.",Wellcome Trust Case Control; Meta-Anal Glucose Insulin-Related; Genetic Invest ANthropometric; Asian Genetic Epidemiology; S Asian Type 2 Diabet SAT2D; DIAbet Genetics Replication,,,NATURE GENETICS,Sep-12,2012,44,9,981,+,,10.1038/ng.2383,1012,126.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,95,168,159,180,169
Prospects for whole-genome linkage disequilibrium mapping of common disease genes,"Kruglyak, L",,,,NATURE GENETICS,Jun-99,1999,22,2,139,144,,10.1038/9642,1003,47.76,0,0,14,125,151,136,97,92,84,47,49,46,24,27,18,14,18,11,11,17,11
Regulation of noise in the expression of a single gene,"Ozbudak, EM; Thattai, M; Kurtser, I; Grossman, AD; van Oudenaarden, A",,,,NATURE GENETICS,May-02,2002,31,1,69,73,,10.1038/ng869,1001,55.61,0,0,0,0,0,7,27,45,60,67,72,70,74,65,70,66,65,63,66,58,48
Aberrant CpG-island methylation has non-random and tumour-type-specific patterns,"Costello, JF; Fruhwald, MC; Smiraglia, DJ; Rush, LJ; Robertson, GP; Gao, X; Wright, FA; Feramisco, JD; Peltomaki, P; Lang, JC; Schuller, DE; Yu, L; Bloomfield, CD; Caligiuri, MA; Yates, A; Nishikawa, R; Huang, HJS; Petrelli, NJ; Zhang, XL; O'Dorisio, MS; Held, WA; Cavenee, WK; Plass, C",,,,NATURE GENETICS,Feb-00,2000,24,2,132,138,,10.1038/72785,1001,50.05,0,0,0,13,53,71,73,61,59,81,70,78,69,87,63,47,27,42,26,24,25
Using FlyAtlas to identify better Drosophila melanogaster models of human disease,"Chintapalli, Venkateswara R.; Wang, Jing; Dow, Julian A. T.",,,,NATURE GENETICS,Jun-07,2007,39,6,715,720,,10.1038/ng2049,997,76.69,0,0,0,0,0,0,0,0,0,0,12,49,90,77,87,131,111,107,74,85,78
Germline and somatic mutations in the tyrosine kinase domain of the MET proto-oncogene in papillary renal carcinomas,"Schmidt, L; Duh, FM; Chen, F; Kishida, T; Glenn, G; Choyke, P; Scherer, SW; Zhuang, ZP; Lubensky, I; Dean, M; Allikmets, R; Chidambaram, A; Bergerheim, UR; Feltis, JT; Casadevall, C; Zamarron, A; Bernues, M; Richard, S; Lips, CJM; Walther, MM; Tsui, LC; Geil, L; Orcutt, ML; Stackhouse, T; Lipan, J; Slife, L; Brauch, H; Decker, J; Niehans, G; Hughson, MD; Moch, H; Storkel, S; Lerman, MI; Linehan, WM; Zbar, B",,,,NATURE GENETICS,May-97,1997,16,1,68,73,,10.1038/ng0597-68,990,43.04,16,53,49,76,41,47,50,56,37,39,38,19,16,21,52,52,57,64,59,44,55
"A lentivirus-based system to functionally silence genes in primary mammalian cells, stem cells and transgenic mice by RNA interference","Rubinson, DA; Dillon, CP; Kwiatkowski, AV; Sievers, C; Yang, LL; Kopinja, J; Zhang, MD; McManus, MT; Gertler, FB; Scott, ML; Van Parijs, L",,,,NATURE GENETICS,Mar-03,2003,33,3,401,406,,10.1038/ng1117,981,57.71,0,0,0,0,0,0,50,124,103,82,84,39,38,54,77,70,70,49,45,30,34
"Common variants at MS4A4/MS4A6E, CD2AP, CD33 and EPHA1 are associated with late-onset Alzheimer's disease","Naj, Adam C.; Jun, Gyungah; Beecham, Gary W.; Wang, Li-San; Vardarajan, Badri Narayan; Buros, Jacqueline; Gallins, Paul J.; Buxbaum, Joseph D.; Jarvik, Gail P.; Crane, Paul K.; Larson, Eric B.; Bird, Thomas D.; Boeve, Bradley F.; Graff-Radford, Neill R.; De Jager, Philip L.; Evans, Denis; Schneider, Julie A.; Carrasquillo, Minerva M.; Ertekin-Taner, Nilufer; Younkin, Steven G.; Cruchaga, Carlos; Kauwe, John S. K.; Nowotny, Petra; Kramer, Patricia; Hardy, John; Huentelman, Matthew J.; Myers, Amanda J.; Barmada, Michael M.; Demirci, F. Yesim; Baldwin, Clinton T.; Green, Robert C.; Rogaeva, Ekaterina; St George-Hyslop, Peter; Arnold, Steven E.; Barber, Robert; Beach, Thomas; Bigio, Eileen H.; Bowen, James D.; Boxer, Adam; Burke, James R.; Cairns, Nigel J.; Carlson, Chris S.; Carney, Regina M.; Carroll, Steven L.; Chui, Helena C.; Clark, David G.; Corneveaux, Jason; Cotman, Carl W.; Cummings, Jeffrey L.; DeCarli, Charles; DeKosky, Steven T.; Diaz-Arrastia, Ramon; Dick, Malcolm; Dickson, Dennis W.; Ellis, William G.; Faber, Kelley M.; Fallon, Kenneth B.; Farlow, Martin R.; Ferris, Steven; Frosch, Matthew P.; Galasko, Douglas R.; Ganguli, Mary; Gearing, Marla; Geschwind, Daniel H.; Ghetti, Bernardino; Gilbert, John R.; Gilman, Sid; Giordani, Bruno; Glass, Jonathan D.; Growdon, John H.; Hamilton, Ronald L.; Harrell, Lindy E.; Head, Elizabeth; Honig, Lawrence S.; Hulette, Christine M.; Hyman, Bradley T.; Jicha, Gregory A.; Jin, Lee-Way; Johnson, Nancy; Karlawish, Jason; Karydas, Anna; Kaye, Jeffrey A.; Kim, Ronald; Koo, Edward H.; Kowall, Neil W.; Lah, James J.; Levey, Allan I.; Lieberman, Andrew P.; Lopez, Oscar L.; Mack, Wendy J.; Marson, Daniel C.; Martiniuk, Frank; Mash, Deborah C.; Masliah, Eliezer; McCormick, Wayne C.; McCurry, Susan M.; McDavid, Andrew N.; Mckee, Ann C.; Mesulam, Marsel; Miller, Bruce L.; Miller, Carol A.; Miller, Joshua W.; Parisi, Joseph E.; Perl, Daniel P.; Peskind, Elaine; Petersen, Ronald C.; Poon, Wayne W.; Quinn, Joseph F.; Rajbhandary, Ruchita A.; Raskind, Murray; Reisberg, Barry; Ringman, John M.; Roberson, Erik D.; Rosenberg, Roger N.; Sano, Mary; Schneider, Lon S.; Seeley, William; Shelanski, Michael L.; Slifer, Michael A.; Smith, Charles D.; Sonnen, Joshua A.; Spina, Salvatore; Stern, Robert A.; Tanzi, Rudolph E.; Trojanowski, John Q.; Troncoso, Juan C.; Van Deerlin, Vivianna M.; Vinters, Harry V.; Vonsattel, Jean Paul; Weintraub, Sandra; Welsh-Bohmer, Kathleen A.; Williamson, Jennifer; Woltjer, Randall L.; Cantwell, Laura B.; Dombroski, Beth A.; Beekly, Duane; Lunetta, Kathryn L.; Martin, Eden R.; Kamboh, M. Ilyas; Saykin, Andrew J.; Reiman, Eric M.; Bennett, David A.; Morris, John C.; Montine, Thomas J.; Goate, Alison M.; Blacker, Deborah; Tsuang, Debby W.; Hakonarson, Hakon; Kukull, Walter A.; Foroud, Tatiana M.; Haines, Jonathan L.; Mayeux, Richard; Pericak-Vance, Margaret A.; Farrer, Lindsay A.; Schellenberg, Gerard D.",,,,NATURE GENETICS,May-11,2011,43,5,436,+,,10.1038/ng.801,978,108.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,120,126,143,137,130,114
"Common variants at ABCA7, MS4A6A/MS4A4E, EPHA1, CD33 and CD2AP are associated with Alzheimer's disease","Hollingworth, Paul; Harold, Denise; Sims, Rebecca; Gerrish, Amy; Lambert, Jean-Charles; Carrasquillo, Minerva M.; Abraham, Richard; Hamshere, Marian L.; Pahwa, Jaspreet Singh; Moskvina, Valentina; Dowzell, Kimberley; Jones, Nicola; Stretton, Alexandra; Thomas, Charlene; Richards, Alex; Ivanov, Dobril; Widdowson, Caroline; Chapman, Jade; Lovestone, Simon; Powell, John; Proitsi, Petroula; Lupton, Michelle K.; Brayne, Carol; Rubinsztein, David C.; Gill, Michael; Lawlor, Brian; Lynch, Aoibhinn; Brown, Kristelle S.; Passmore, Peter A.; Craig, David; McGuinness, Bernadette; Todd, Stephen; Holmes, Clive; Mann, David; Smith, A. David; Beaumont, Helen; Warden, Donald; Wilcock, Gordon; Love, Seth; Kehoe, Patrick G.; Hooper, Nigel M.; Vardy, Emma R. L. C.; Hardy, John; Mead, Simon; Fox, Nick C.; Rossor, Martin; Collinge, John; Maier, Wolfgang; Jessen, Frank; Ruether, Eckart; Schuermann, Britta; Heun, Reiner; Koelsch, Heike; van den Bussche, Hendrik; Heuser, Isabella; Kornhuber, Johannes; Wiltfang, Jens; Dichgans, Martin; Froelich, Lutz; Hampel, Harald; Gallacher, John; Huell, Michael; Rujescu, Dan; Giegling, Ina; Goate, Alison M.; Kauwe, John S. K.; Cruchaga, Carlos; Nowotny, Petra; Morris, John C.; Mayo, Kevin; Sleegers, Kristel; Bettens, Karolien; Engelborghs, Sebastiaan; De Deyn, Peter P.; Van Broeckhoven, Christine; Livingston, Gill; Bass, Nicholas J.; Gurling, Hugh; McQuillin, Andrew; Gwilliam, Rhian; Deloukas, Panagiotis; Al-Chalabi, Ammar; Shaw, Christopher E.; Tsolaki, Magda; Singleton, Andrew B.; Guerreiro, Rita; Muehleisen, Thomas W.; Noethen, Markus M.; Moebus, Susanne; Joeckel, Karl-Heinz; Klopp, Norman; Wichmann, H-Erich; Pankratz, V. Shane; Sando, Sigrid B.; Aasly, Jan O.; Barcikowska, Maria; Wszolek, Zbigniew K.; Dickson, Dennis W.; Graff-Radford, Neill R.; Petersen, Ronald C.; van Duijn, Cornelia M.; Breteler, Monique M. B.; Ikram, M. Arfan; DeStefano, Anita L.; Fitzpatrick, Annette L.; Lopez, Oscar; Launer, Lenore J.; Seshadri, Sudha; Berr, Claudine; Campion, Dominique; Epelbaum, Jacques; Dartigues, Jean-Francois; Tzourio, Christophe; Alperovitch, Annick; Lathrop, Mark; Feulner, Thomas M.; Friedrich, Patricia; Riehle, Caterina; Krawczak, Michael; Schreiber, Stefan; Mayhaus, Manuel; Nicolhaus, S.; Wagenpfeil, Stefan; Steinberg, Stacy; Stefansson, Hreinn; Stefansson, Kari; Snaedal, Jon; Bjornsson, Sigurbjorn; Jonsson, Palmi V.; Chouraki, Vincent; Genier-Boley, Benjamin; Hiltunen, Mikko; Soininen, Hilkka; Combarros, Onofre; Zelenika, Diana; Delepine, Marc; Bullido, Maria J.; Pasquier, Florence; Mateo, Ignacio; Frank-Garcia, Ana; Porcellini, Elisa; Hanon, Olivier; Coto, Eliecer; Alvarez, Victoria; Bosco, Paolo; Siciliano, Gabriele; Mancuso, Michelangelo; Panza, Francesco; Solfrizzi, Vincenzo; Nacmias, Benedetta; Sorbi, Sandro; Bossu, Paola; Piccardi, Paola; Arosio, Beatrice; Annoni, Giorgio; Seripa, Davide; Pilotto, Alberto; Scarpini, Elio; Galimberti, Daniela; Brice, Alexis; Hannequin, Didier; Licastro, Federico; Jones, Lesley; Holmans, Peter A.; Jonsson, Thorlakur; Riemenschneider, Matthias; Morgan, Kevin; Younkin, Steven G.; Owen, Michael J.; O'Donovan, Michael; Amouyel, Philippe; Williams, Julie",Alzheimer's Dis Neuroimaging; CHARGE Consortium; EADI1 Consortium,,,NATURE GENETICS,May-11,2011,43,5,429,+,,10.1038/ng.803,976,108.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,117,117,143,141,145,114
